機種,台番,差枚,G数,出率,BB,RB,合成
チバリヨ2,2080,"10,680","3,951",190.1%,-,-,-
L東京喰種,2161,"8,180","7,422",136.7%,-,-,-
L東京喰種,2166,"7,815","8,626",130.2%,-,-,-
スマスロ ゴッドイーター リザレクション,2248,"7,490","3,618",169%,-,-,-
スマスロモンキーターンV,2238,"6,802","4,910",146.2%,-,-,-
L主役は銭形４,3033,"6,721","3,799",159%,-,-,-
Lパチスロ かぐや様は告らせたい,2201,"5,790","4,121",146.8%,-,-,-
Lスマスロ北斗の拳,2211,"5,019","7,653",121.9%,93,11,1/74
Lスマスロ北斗の拳,2224,"4,596","5,570",127.5%,76,11,1/64
Lにゃんこ大戦争 超神速,3095,"4,510","3,366",144.7%,-,-,-
マイジャグラーV,2123,"4,006","5,823",122.9%,35,25,1/97
Lスマスロ北斗の拳,2220,"3,801","7,498",116.9%,82,16,1/77
マイジャグラーV,2143,"3,610","9,636",112.5%,41,48,1/108
Lパチスロ革命機ヴァルヴレイヴ,2154,"3,609","3,491",134.5%,-,-,-
L東京喰種,2164,"3,591","6,554",118.3%,-,-,-
スマスロモンキーターンV,2240,"3,513","6,433",118.2%,-,-,-
L 仮面ライダー電王,2064,"3,020","5,266",119.1%,-,-,-
この素晴らしい世界に祝福を！,3063,"3,013","5,470",118.4%,-,-,-
Sister Quest,2203,"2,816","1,711",154.9%,-,-,-
スマスロ 七つの魔剣が支配する,2183,"2,816","2,552",136.8%,-,-,-
Lスマスロ北斗の拳,2221,"2,810","4,204",122.3%,56,4,1/70
Lパチスロ かぐや様は告らせたい,2197,"2,703","1,196",175.3%,-,-,-
スマスロ モンスターハンターライズ,2135,"2,618","4,827",118.1%,-,-,-
マイジャグラーV,2022,"2,410","8,576",109.4%,39,29,1/126
L ToLOVEるダークネス,2193,"2,404","3,277",124.5%,-,-,-
沖ドキ！ＧＯＬＤ-30,2075,"2,404","1,553",151.6%,-,-,-
マイジャグラーV,2147,"2,402","8,501",109.4%,38,32,1/121
Lスマスロ北斗の拳,2208,"2,304","6,723",111.4%,71,14,1/79
マイジャグラーV,2118,"2,302","5,474",114%,27,19,1/119
Lスマスロ北斗の拳,2227,"2,301",805,195.3%,20,1,1/38
Lパチスロからくりサーカス,2168,"2,109","3,969",117.7%,-,-,-
スマスロモンキーターンV,2235,"2,104","2,702",126%,-,-,-
沖ドキ！ＧＯＬＤ-30,2086,"2,101","1,809",138.7%,-,-,-
SアイムジャグラーＥＸ,2103,"2,003","3,514",119%,18,13,1/113
Lスマスロ北斗の拳,2215,"2,000","1,650",140.4%,28,2,1/55
スマスロ モンスターハンターライズ,2138,"1,997","5,937",111.2%,-,-,-
交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART,3068,"1,913","3,051",120.9%,-,-,-
スマスロ ゴッドイーター リザレクション,2249,"1,814","4,665",113%,-,-,-
Lスマスロ北斗の拳,2209,"1,716","5,611",110.2%,59,16,1/75
Lパチスロからくりサーカス,2174,"1,707","1,568",136.3%,-,-,-
Lスマスロ北斗の拳,2207,"1,609","5,696",109.4%,56,14,1/81
SアイムジャグラーＥＸ,2108,"1,606","6,657",108%,30,23,1/126
Lパチスロ ダンベル何キロ持てる？,2133,"1,603",442,220.9%,-,-,-
Lスマスロ北斗の拳,2216,"1,601","7,492",107.1%,72,19,1/82
沖ドキ!ゴージャス 30Φ,2083,"1,601","2,913",118.3%,-,-,-
L東京喰種,2163,"1,513","6,356",107.9%,-,-,-
