id,store_name,日付,機種,台番,差枚,G数,BB,RB,合成,updated_at
72498,エスパス上野新館,2025-07-20,スマスロ デビルメイクライ5 スタイリッシュトライブ,2206,9131,4506,0,0,-,2025-12-26 09:17:44
72499,エスパス上野新館,2025-07-20,Lパチスロ かぐや様は告らせたい,2179,8095,6107,0,0,-,2025-12-26 09:17:44
72500,エスパス上野新館,2025-07-20,L東京喰種,2161,7684,7927,0,0,-,2025-12-26 09:17:44
72501,エスパス上野新館,2025-07-20,スマスロ 緑ドン VIVA!情熱南米編 REVIVAL,2130,7179,4488,0,0,-,2025-12-26 09:17:44
72502,エスパス上野新館,2025-07-20,チバリヨ2,2080,6687,4729,0,0,-,2025-12-26 09:17:44
72503,エスパス上野新館,2025-07-20,Lスマスロ北斗の拳,2216,6119,5478,81,10,1/60,2025-12-26 09:17:44
72504,エスパス上野新館,2025-07-20,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,3048,5608,5208,0,0,-,2025-12-26 09:17:44
72505,エスパス上野新館,2025-07-20,スマスロ スーパーブラックジャック,2256,5605,4062,0,0,-,2025-12-26 09:17:44
72506,エスパス上野新館,2025-07-20,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,2181,5108,7056,0,0,-,2025-12-26 09:17:44
72507,エスパス上野新館,2025-07-20,押忍！番長4,3112,4594,3976,0,0,-,2025-12-26 09:17:44
72508,エスパス上野新館,2025-07-20,Lソードアート・オンライン,3055,4493,7207,0,0,-,2025-12-26 09:17:44
72509,エスパス上野新館,2025-07-20,パチスロ　ディスクアップ２,3021,4313,6721,35,16,1/132,2025-12-26 09:17:44
72510,エスパス上野新館,2025-07-20,Lパチスロ かぐや様は告らせたい,2265,3821,5891,0,0,-,2025-12-26 09:17:44
72511,エスパス上野新館,2025-07-20,沖ドキ！ＧＯＬＤ-30,2087,3504,5843,0,0,-,2025-12-26 09:17:44
72512,エスパス上野新館,2025-07-20,L ToLOVEるダークネス TRANCE ver.8.7,2189,3211,7875,0,0,-,2025-12-26 09:17:44
72513,エスパス上野新館,2025-07-20,パチスロ　ディスクアップ２,3023,3096,2177,16,3,1/115,2025-12-26 09:17:44
72514,エスパス上野新館,2025-07-20,マイジャグラーV,2150,3009,9560,44,35,1/121,2025-12-26 09:17:44
72515,エスパス上野新館,2025-07-20,スマスロ モンスターハンターライズ,2192,3002,5750,0,0,-,2025-12-26 09:17:44
72516,エスパス上野新館,2025-07-20,スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,3047,2919,3799,0,0,-,2025-12-26 09:17:44
72517,エスパス上野新館,2025-07-20,チバリヨ2,2084,2901,8466,0,0,-,2025-12-26 09:17:44
72518,エスパス上野新館,2025-07-20,沖ドキ！ＧＯＬＤ-30,2085,2598,2328,0,0,-,2025-12-26 09:17:44
72519,エスパス上野新館,2025-07-20,SアイムジャグラーＥＸ,2109,2503,7986,36,30,1/121,2025-12-26 09:17:44
72520,エスパス上野新館,2025-07-20,ファンキージャグラー２ＫＴ,2034,2503,3791,24,12,1/105,2025-12-26 09:17:44
72521,エスパス上野新館,2025-07-20,沖ドキ！ＧＯＬＤ-30,2090,2316,5013,0,0,-,2025-12-26 09:17:44
72522,エスパス上野新館,2025-07-20,ウルトラミラクルジャグラー,2038,2315,6952,0,0,-,2025-12-26 09:17:44
72523,エスパス上野新館,2025-07-20,パチスロ　ディスクアップ２,3009,2314,5614,25,14,1/144,2025-12-26 09:17:44
72524,エスパス上野新館,2025-07-20,スマスロ ゴッドイーター リザレクション,2253,2314,5054,0,0,-,2025-12-26 09:17:44
72525,エスパス上野新館,2025-07-20,マイジャグラーV,2029,2311,8404,36,35,1/118,2025-12-26 09:17:44
72526,エスパス上野新館,2025-07-20,ゴーゴージャグラー３,2054,2310,7507,37,28,1/115,2025-12-26 09:17:44
72527,エスパス上野新館,2025-07-20,スマスロニューパルサーBT,2066,2310,5984,0,0,-,2025-12-26 09:17:44
72528,エスパス上野新館,2025-07-20,スマスロ スーパーブラックジャック,2257,2307,3239,0,0,-,2025-12-26 09:17:44
72529,エスパス上野新館,2025-07-20,マイジャグラーV,2141,2096,7899,35,28,1/125,2025-12-26 09:17:44
72530,エスパス上野新館,2025-07-20,交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART,3068,2095,1649,0,0,-,2025-12-26 09:17:44
72531,エスパス上野新館,2025-07-20,A-SLOT+ ディスクアップ ULTRAREMIX,3008,2004,5639,24,9,1/171,2025-12-26 09:17:44
72532,エスパス上野新館,2025-07-20,Lルパン三世 大航海者の秘宝,3036,1913,2798,0,0,-,2025-12-26 09:17:44
72533,エスパス上野新館,2025-07-20,いざ！番長,2271,1821,7999,0,0,-,2025-12-26 09:17:44
72534,エスパス上野新館,2025-07-20,L麻雀物語,3053,1821,2380,0,0,-,2025-12-26 09:17:44
72535,エスパス上野新館,2025-07-20,スマスロ ギルティクラウン2,2198,1816,3728,0,0,-,2025-12-26 09:17:44
72536,エスパス上野新館,2025-07-20,Lパチスロからくりサーカス,2172,1816,1816,0,0,-,2025-12-26 09:17:44
72537,エスパス上野新館,2025-07-20,Lスマスロ北斗の拳,2272,1815,6817,69,15,1/81,2025-12-26 09:17:44
72538,エスパス上野新館,2025-07-20,この素晴らしい世界に祝福を！,3063,1813,5273,0,0,-,2025-12-26 09:17:44
72539,エスパス上野新館,2025-07-20,沖ドキ!ゴージャス 30Φ,2083,1807,1916,0,0,-,2025-12-26 09:17:44
72540,エスパス上野新館,2025-07-20,スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,3043,1805,4286,0,0,-,2025-12-26 09:17:44
72541,エスパス上野新館,2025-07-20,ゴーゴージャグラー３,2050,1803,5520,25,25,1/110,2025-12-26 09:17:44
72542,エスパス上野新館,2025-07-20,スマスロ ゴッドイーター リザレクション,2247,1799,6023,0,0,-,2025-12-26 09:17:44
72543,エスパス上野新館,2025-07-20,SアイムジャグラーＥＸ,2101,1703,2957,17,8,1/118,2025-12-26 09:17:44
72544,エスパス上野新館,2025-07-20,SアイムジャグラーＥＸ,2261,1698,4514,23,11,1/133,2025-12-26 09:17:44
72545,エスパス上野新館,2025-07-20,マイジャグラーV,2017,1615,8001,35,24,1/136,2025-12-26 09:17:44
72546,エスパス上野新館,2025-07-20,マイジャグラーV,2262,1609,7586,35,20,1/138,2025-12-26 09:17:44
72547,エスパス上野新館,2025-07-20,スマスロモンキーターンV,2243,1607,5596,0,0,-,2025-12-26 09:17:44
72548,エスパス上野新館,2025-07-20,スマスロモンキーターンV,2234,1512,6690,0,0,-,2025-12-26 09:17:44
72549,エスパス上野新館,2025-07-20,沖ドキ!ゴージャス 30Φ,2082,1510,3653,0,0,-,2025-12-26 09:17:44
72550,エスパス上野新館,2025-07-20,スマスロ バイオハザード5,2185,1508,915,0,0,-,2025-12-26 09:17:44
72551,エスパス上野新館,2025-07-20,マイジャグラーV,2020,1503,6165,30,12,1/147,2025-12-26 09:17:44
