id,store_name,日付,機種,台番,差枚,G数,BB,RB,合成,updated_at
197884,エスパス上野本館,2025-07-09,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,3130,6594,8040,0,0,-,2025-12-26 09:17:50
197885,エスパス上野本館,2025-07-09,Lパチスロ かぐや様は告らせたい,3063,6121,3522,0,0,-,2025-12-26 09:17:50
197886,エスパス上野本館,2025-07-09,L戦国乙女４　戦乱に閃く炯眼の軍師,3142,6026,2815,0,0,-,2025-12-26 09:17:50
197887,エスパス上野本館,2025-07-09,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,3133,5683,7208,0,0,-,2025-12-26 09:17:50
197888,エスパス上野本館,2025-07-09,パチスロ わたしの幸せな結婚,3125,5197,3276,0,0,-,2025-12-26 09:17:50
197889,エスパス上野本館,2025-07-09,マイジャグラーV,2096,4596,6712,43,21,1/105,2025-12-26 09:17:50
197890,エスパス上野本館,2025-07-09,スマスロ 緑ドン VIVA!情熱南米編 REVIVAL,3092,4591,2401,0,0,-,2025-12-26 09:17:50
197891,エスパス上野本館,2025-07-09,吉宗,3030,4001,2520,0,0,-,2025-12-26 09:17:50
197892,エスパス上野本館,2025-07-09,Lゴジラ対エヴァンゲリオン,3050,3993,1113,0,0,-,2025-12-26 09:17:50
197893,エスパス上野本館,2025-07-09,L ToLOVEるダークネス TRANCE ver.8.7,3091,3608,3037,0,0,-,2025-12-26 09:17:50
197894,エスパス上野本館,2025-07-09,沖ドキ!ゴージャス 30Φ,2134,3502,7137,0,0,-,2025-12-26 09:17:50
197895,エスパス上野本館,2025-07-09,スマスロ ゴッドイーター リザレクション,3101,3215,661,0,0,-,2025-12-26 09:17:50
197896,エスパス上野本館,2025-07-09,マイジャグラーV,2007,2809,7479,38,22,1/125,2025-12-26 09:17:50
197897,エスパス上野本館,2025-07-09,スマスロモンキーターンV,3112,2712,1347,0,0,-,2025-12-26 09:17:50
197898,エスパス上野本館,2025-07-09,L東京喰種,3043,2621,2339,0,0,-,2025-12-26 09:17:50
197899,エスパス上野本館,2025-07-09,吉宗,3031,2593,3634,0,0,-,2025-12-26 09:17:50
197900,エスパス上野本館,2025-07-09,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,3132,2497,6062,0,0,-,2025-12-26 09:17:50
197901,エスパス上野本館,2025-07-09,Lルパン三世 大航海者の秘宝,3048,2413,3587,0,0,-,2025-12-26 09:17:50
197902,エスパス上野本館,2025-07-09,SアイムジャグラーＥＸ,2054,2403,4734,23,21,1/108,2025-12-26 09:17:50
197903,エスパス上野本館,2025-07-09,スターハナハナ-30,2141,2314,3108,0,0,-,2025-12-26 09:17:50
197904,エスパス上野本館,2025-07-09,キングハナハナ-30,2170,2314,8419,0,0,-,2025-12-26 09:17:50
197905,エスパス上野本館,2025-07-09,スマスロ ギルティクラウン2,3189,2311,534,0,0,-,2025-12-26 09:17:50
197906,エスパス上野本館,2025-07-09,Lパチスロからくりサーカス,3057,2221,636,0,0,-,2025-12-26 09:17:50
197907,エスパス上野本館,2025-07-09,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,3129,2221,6512,0,0,-,2025-12-26 09:17:50
197908,エスパス上野本館,2025-07-09,沖ドキ！ＧＯＬＤ-30,2172,2101,3433,0,0,-,2025-12-26 09:17:50
197909,エスパス上野本館,2025-07-09,キングハナハナ-30,2145,2009,7391,0,0,-,2025-12-26 09:17:50
197910,エスパス上野本館,2025-07-09,ファンキージャグラー２ＫＴ,2105,2002,5228,24,23,1/111,2025-12-26 09:17:50
197911,エスパス上野本館,2025-07-09,A-SLOT+ ディスクアップ ULTRAREMIX,2028,1915,2797,12,7,1/147,2025-12-26 09:17:50
197912,エスパス上野本館,2025-07-09,SアイムジャグラーＥＸ,2052,1910,5325,26,21,1/113,2025-12-26 09:17:50
197913,エスパス上野本館,2025-07-09,沖ドキ！ＧＯＬＤ-30,2175,1820,1694,0,0,-,2025-12-26 09:17:50
197914,エスパス上野本館,2025-07-09,A-SLOT+ ディスクアップ ULTRAREMIX,2029,1802,1018,8,2,1/102,2025-12-26 09:17:50
197915,エスパス上野本館,2025-07-09,マイジャグラーV,2017,1703,7728,28,38,1/117,2025-12-26 09:17:50
197916,エスパス上野本館,2025-07-09,マイジャグラーV,2001,1700,5734,30,14,1/130,2025-12-26 09:17:50
197917,エスパス上野本館,2025-07-09,Lスマスロ北斗の拳,3120,1616,1345,24,1,1/54,2025-12-26 09:17:50
197918,エスパス上野本館,2025-07-09,マイジャグラーV,2003,1607,6737,33,21,1/125,2025-12-26 09:17:50
197919,エスパス上野本館,2025-07-09,スマスロ 緑ドン VIVA!情熱南米編 REVIVAL,3094,1603,2192,0,0,-,2025-12-26 09:17:50
197920,エスパス上野本館,2025-07-09,SアイムジャグラーＥＸ,2061,1511,5805,26,22,1/121,2025-12-26 09:17:50
197921,エスパス上野本館,2025-07-09,沖ドキ！ＧＯＬＤ,2176,1510,2286,0,0,-,2025-12-26 09:17:50
197922,エスパス上野本館,2025-07-09,吉宗,3034,1508,913,0,0,-,2025-12-26 09:17:50
197923,エスパス上野本館,2025-07-09,Lスマスロ北斗の拳,3124,1503,1656,23,3,1/64,2025-12-26 09:17:50
197924,エスパス上野本館,2025-07-09,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,3017,1401,1643,0,0,-,2025-12-26 09:17:50
197925,エスパス上野本館,2025-07-09,マイジャグラーV,2010,1396,8391,32,34,1/127,2025-12-26 09:17:50
197926,エスパス上野本館,2025-07-09,A-SLOT+ ディスクアップ ULTRAREMIX,2030,1315,1250,8,1,1/139,2025-12-26 09:17:50
197927,エスパス上野本館,2025-07-09,ゴーゴージャグラー３,2078,1309,6014,29,17,1/131,2025-12-26 09:17:50
197928,エスパス上野本館,2025-07-09,沖ドキ！ＧＯＬＤ-30,2130,1298,3955,0,0,-,2025-12-26 09:17:50
197929,エスパス上野本館,2025-07-09,沖ドキ！ＧＯＬＤ-30,2131,1209,3726,0,0,-,2025-12-26 09:17:50
197930,エスパス上野本館,2025-07-09,ゴーゴージャグラー３,2076,1208,3320,17,13,1/111,2025-12-26 09:17:50
197931,エスパス上野本館,2025-07-09,L ToLOVEるダークネス,3021,1206,1254,0,0,-,2025-12-26 09:17:50
197932,エスパス上野本館,2025-07-09,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,3019,1205,574,0,0,-,2025-12-26 09:17:50
197933,エスパス上野本館,2025-07-09,スマスロモンキーターンV,3107,1102,710,0,0,-,2025-12-26 09:17:50
197934,エスパス上野本館,2025-07-09,いざ！番長,3035,1098,4452,0,0,-,2025-12-26 09:17:50
197935,エスパス上野本館,2025-07-09,スマスロ デビルメイクライ5 スタイリッシュトライブ,3088,1096,777,0,0,-,2025-12-26 09:17:50
197936,エスパス上野本館,2025-07-09,沖ドキ！ＧＯＬＤ-30,2165,1096,2659,0,0,-,2025-12-26 09:17:50
197937,エスパス上野本館,2025-07-09,L真・一騎当千,3145,1096,727,0,0,-,2025-12-26 09:17:50
197938,エスパス上野本館,2025-07-09,スマスロ ギルティクラウン2,3188,1004,935,0,0,-,2025-12-26 09:17:50
197939,エスパス上野本館,2025-07-09,ミスタージャグラー,2090,916,2131,0,0,-,2025-12-26 09:17:50
197940,エスパス上野本館,2025-07-09,Lゴジラ,3140,913,508,0,0,-,2025-12-26 09:17:50
197941,エスパス上野本館,2025-07-09,キングハナハナ-30,2167,910,5204,0,0,-,2025-12-26 09:17:50
197942,エスパス上野本館,2025-07-09,沖ドキ！ＧＯＬＤ-30,2174,907,795,0,0,-,2025-12-26 09:17:50
197943,エスパス上野本館,2025-07-09,スマスロ モンスターハンターライズ,3079,805,1435,0,0,-,2025-12-26 09:17:50
197944,エスパス上野本館,2025-07-09,マイジャグラーV,2118,803,2203,13,1,1/157,2025-12-26 09:17:50
197945,エスパス上野本館,2025-07-09,ファンキージャグラー２ＫＴ,2108,800,4450,21,10,1/144,2025-12-26 09:17:50
197946,エスパス上野本館,2025-07-09,スマスロ スーパーブラックジャック,3082,799,1544,0,0,-,2025-12-26 09:17:50
197947,エスパス上野本館,2025-07-09,ジャグラーガールズSS,2072,795,5227,0,0,-,2025-12-26 09:17:50
197948,エスパス上野本館,2025-07-09,マイジャグラーV,2101,711,3669,19,6,1/147,2025-12-26 09:17:50
197949,エスパス上野本館,2025-07-09,スマスロ ゴッドイーター リザレクション,3100,710,767,0,0,-,2025-12-26 09:17:50
197950,エスパス上野本館,2025-07-09,ジャグラーガールズSS,2071,606,3125,0,0,-,2025-12-26 09:17:50
197951,エスパス上野本館,2025-07-09,マイジャグラーV,2008,605,1717,8,5,1/132,2025-12-26 09:17:50
197952,エスパス上野本館,2025-07-09,SアイムジャグラーＥＸ,2065,605,3225,16,5,1/154,2025-12-26 09:17:50
197953,エスパス上野本館,2025-07-09,沖ドキ！ＧＯＬＤ-30,2133,605,3770,0,0,-,2025-12-26 09:17:50
197954,エスパス上野本館,2025-07-09,SアイムジャグラーＥＸ,2025,604,4530,19,12,1/146,2025-12-26 09:17:50
197955,エスパス上野本館,2025-07-09,ジャグラーガールズSS,2073,602,3904,0,0,-,2025-12-26 09:17:50
197956,エスパス上野本館,2025-07-09,Lスマスロ北斗の拳,3006,601,850,9,2,1/77,2025-12-26 09:17:50
197957,エスパス上野本館,2025-07-09,ウルトラミラクルジャグラー,2113,515,3599,0,0,-,2025-12-26 09:17:50
197958,エスパス上野本館,2025-07-09,アレックス ブライト,2036,515,4135,0,0,-,2025-12-26 09:17:50
197959,エスパス上野本館,2025-07-09,L麻雀物語,3128,514,472,0,0,-,2025-12-26 09:17:50
197960,エスパス上野本館,2025-07-09,L ToLOVEるダークネス,3022,512,847,0,0,-,2025-12-26 09:17:50
197961,エスパス上野本館,2025-07-09,Lパチスロからくりサーカス,3055,509,202,0,0,-,2025-12-26 09:17:50
197962,エスパス上野本館,2025-07-09,吉宗,3033,507,759,0,0,-,2025-12-26 09:17:50
197963,エスパス上野本館,2025-07-09,マイジャグラーV,2099,409,6545,24,23,1/139,2025-12-26 09:17:50
197964,エスパス上野本館,2025-07-09,キングハナハナ-30,2146,407,1554,0,0,-,2025-12-26 09:17:50
197965,エスパス上野本館,2025-07-09,新ハナビ,2043,405,2225,0,0,-,2025-12-26 09:17:50
197966,エスパス上野本館,2025-07-09,沖ドキ！ＧＯＬＤ-30,2173,403,1023,0,0,-,2025-12-26 09:17:50
197967,エスパス上野本館,2025-07-09,SアイムジャグラーＥＸ,2024,315,2276,11,3,1/163,2025-12-26 09:17:50
197968,エスパス上野本館,2025-07-09,Lパチスロ ダンベル何キロ持てる？,3023,315,362,0,0,-,2025-12-26 09:17:50
197969,エスパス上野本館,2025-07-09,Lスマスロ北斗の拳,3184,311,3391,29,8,1/92,2025-12-26 09:17:50
197970,エスパス上野本館,2025-07-09,スマスロ モンスターハンターライズ,3074,311,164,0,0,-,2025-12-26 09:17:50
197971,エスパス上野本館,2025-07-09,沖ドキ！ＧＯＬＤ,2042,309,1063,0,0,-,2025-12-26 09:17:50
197972,エスパス上野本館,2025-07-09,ゴーゴージャグラー３,2089,308,1922,9,4,1/148,2025-12-26 09:17:50
197973,エスパス上野本館,2025-07-09,ファンキージャグラー２ＫＴ,2104,307,1257,6,2,1/157,2025-12-26 09:17:50
197974,エスパス上野本館,2025-07-09,キングハナハナ-30,2169,305,4909,0,0,-,2025-12-26 09:17:50
197975,エスパス上野本館,2025-07-09,キングハナハナ-30,2147,301,8009,0,0,-,2025-12-26 09:17:50
197976,エスパス上野本館,2025-07-09,スマスロ ゴッドイーター リザレクション,3097,207,302,0,0,-,2025-12-26 09:17:50
197977,エスパス上野本館,2025-07-09,SアイムジャグラーＥＸ,2059,207,2342,12,1,1/180,2025-12-26 09:17:50
197978,エスパス上野本館,2025-07-09,ゴーゴージャグラー３,2083,207,2303,10,7,1/135,2025-12-26 09:17:50
197979,エスパス上野本館,2025-07-09,マイジャグラーV,2006,207,2149,8,6,1/154,2025-12-26 09:17:50
197980,エスパス上野本館,2025-07-09,Lスマスロ北斗の拳,3002,205,176,2,1,1/59,2025-12-26 09:17:50
197981,エスパス上野本館,2025-07-09,翔べ！ハーレムエース,2031,205,1676,0,0,-,2025-12-26 09:17:50
197982,エスパス上野本館,2025-07-09,ゴーゴージャグラー３,2081,205,3141,13,9,1/143,2025-12-26 09:17:50
197983,エスパス上野本館,2025-07-09,キングハナハナ-30,2166,204,5865,0,0,-,2025-12-26 09:17:50
197984,エスパス上野本館,2025-07-09,Lサラリーマン金太郎,3147,203,663,0,0,-,2025-12-26 09:17:50
197985,エスパス上野本館,2025-07-09,スマスロモンキーターンV,3111,202,698,0,0,-,2025-12-26 09:17:50
197986,エスパス上野本館,2025-07-09,L ToLOVEるダークネス TRANCE ver.8.7,3090,201,1852,0,0,-,2025-12-26 09:17:50
197987,エスパス上野本館,2025-07-09,スターハナハナ-30,2142,116,200,0,0,-,2025-12-26 09:17:50
197988,エスパス上野本館,2025-07-09,Lスマスロ北斗の拳,3008,114,1791,15,2,1/105,2025-12-26 09:17:50
