機種,台番,差枚,G数,出率,BB,RB,合成
沖ドキ！BLACK,2137,"6,924","8,307",127.8%,-,-,-
吉宗,3030,"6,501","8,662",125%,-,-,-
Lパチスロ かぐや様は告らせたい,3061,"6,028","4,111",148.9%,-,-,-
沖ドキ！ＧＯＬＤ-30,2160,"5,701","6,318",130.1%,-,-,-
キングハナハナ-30,2170,"5,609","8,321",122.5%,-,-,-
Lスマスロ北斗の拳,3008,"4,808","1,934",182.9%,50,3,1/36
スマスロモンキーターンV,3183,"4,700","1,913",181.9%,-,-,-
L東京喰種,3181,"4,590","3,738",140.9%,-,-,-
沖ドキ！ＧＯＬＤ-30,2132,"4,520","2,737",155%,-,-,-
スマスロモンキーターンV,3106,"4,509","4,261",135.3%,-,-,-
スマスロ スーパーブラックジャック,3096,"3,710",691,279%,-,-,-
Lスマスロ北斗の拳,3006,"3,211","2,347",145.6%,41,4,1/52
ジャグラーガールズSS,2071,"3,207","4,163",125.7%,-,-,-
L東京喰種,3045,"3,094","2,718",137.9%,-,-,-
Lアズールレーン THE ANIMATION,3126,"2,896","3,388",128.5%,-,-,-
マイジャグラーV,2003,"2,715","4,651",119.5%,27,18,1/103
SアイムジャグラーＥＸ,2025,"2,707","5,699",115.8%,30,20,1/114
マイジャグラーV,2128,"2,596","7,484",111.6%,31,38,1/108
ゴーゴージャグラー３,2080,"2,500","4,190",119.9%,25,14,1/107
L麻雀物語,3085,"2,499","1,123",174.2%,-,-,-
スターハナハナ-30,2142,"2,495","8,186",110.2%,-,-,-
SアイムジャグラーＥＸ,2067,"2,414","3,650",122%,24,7,1/118
スマスロモンキーターンV,3111,"2,406","1,821",144%,-,-,-
Lパチスロ かぐや様は告らせたい,3062,"2,405","2,578",131.1%,-,-,-
L ToLOVEるダークネス TRANCE ver.8.7,3089,"2,404","1,812",144.2%,-,-,-
キングハナハナ-30,2148,"2,313","6,583",111.7%,-,-,-
A-SLOT+ ディスクアップ ULTRAREMIX,2049,"2,310","4,137",118.6%,20,7,1/153
SアイムジャグラーＥＸ,2058,"2,218","3,438",121.5%,20,13,1/104
L東京喰種,3040,"2,104","3,625",119.3%,-,-,-
SアイムジャグラーＥＸ,2055,"2,095","7,293",109.6%,35,23,1/126
沖ドキ！ＧＯＬＤ,2042,"2,009","1,186",156.5%,-,-,-
マイジャグラーV,2002,"2,005","7,958",108.4%,38,22,1/133
Lダーリン・イン・ザ・フランキス,3084,"2,004","3,033",122%,-,-,-
マイジャグラーV,2099,"1,995","6,265",110.6%,29,24,1/118
沖ドキ！ＧＯＬＤ-30,2172,"1,912",979,165.1%,-,-,-
ファンキージャグラー２ＫＴ,2110,"1,912","4,390",114.5%,27,8,1/125
ゴーゴージャグラー３,2089,"1,809","4,583",113.2%,24,17,1/112
Lスマスロ北斗の拳,3124,"1,697","3,193",117.7%,35,3,1/84
スマスロ ゴッドイーター リザレクション,3100,"1,614",325,265.5%,-,-,-
