id,store_name,日付,機種,台番,差枚,G数,BB,RB,合成,updated_at
330819,エスパス新宿歌舞伎町,2025-04-13,スマスロ モンスターハンターライズ,664,13014,8846,0,0,-,2025-12-26 09:17:55
330820,エスパス新宿歌舞伎町,2025-04-13,スマスロ モンスターハンターライズ,671,12933,8347,0,0,-,2025-12-26 09:17:55
330821,エスパス新宿歌舞伎町,2025-04-13,Sister Quest,1418,12470,7690,0,0,-,2025-12-26 09:17:55
330822,エスパス新宿歌舞伎町,2025-04-13,スマスロ モンスターハンターライズ,675,11627,8256,0,0,-,2025-12-26 09:17:55
330823,エスパス新宿歌舞伎町,2025-04-13,Lスマスロ北斗の拳,67,11015,5976,112,9,1/49,2025-12-26 09:17:55
330824,エスパス新宿歌舞伎町,2025-04-13,スマスロ モンスターハンターライズ,678,10242,7772,0,0,-,2025-12-26 09:17:55
330825,エスパス新宿歌舞伎町,2025-04-13,Lパチスロ ダンベル何キロ持てる？,815,9715,8743,0,0,-,2025-12-26 09:17:55
330826,エスパス新宿歌舞伎町,2025-04-13,スマスロ モンスターハンターライズ,677,9179,7844,0,0,-,2025-12-26 09:17:55
330827,エスパス新宿歌舞伎町,2025-04-13,L戦国乙女４　戦乱に閃く炯眼の軍師,837,8896,7643,0,0,-,2025-12-26 09:17:55
330828,エスパス新宿歌舞伎町,2025-04-13,L東京喰種,843,8792,7492,0,0,-,2025-12-26 09:17:55
330829,エスパス新宿歌舞伎町,2025-04-13,Lゴジラ,8,8536,6744,0,0,-,2025-12-26 09:17:55
330830,エスパス新宿歌舞伎町,2025-04-13,L 仮面ライダー電王,802,8529,6200,0,0,-,2025-12-26 09:17:55
330831,エスパス新宿歌舞伎町,2025-04-13,Lパチスロ ありふれた職業で世界最強,805,8528,8295,0,0,-,2025-12-26 09:17:55
330832,エスパス新宿歌舞伎町,2025-04-13,スマスロ モンスターハンターライズ,679,8184,8548,0,0,-,2025-12-26 09:17:55
330833,エスパス新宿歌舞伎町,2025-04-13,スロット ゾンビランドサガ,1404,8181,5689,0,0,-,2025-12-26 09:17:55
330834,エスパス新宿歌舞伎町,2025-04-13,Lパチスロ かぐや様は告らせたい,118,7910,9562,0,0,-,2025-12-26 09:17:55
330835,エスパス新宿歌舞伎町,2025-04-13,スマスロ モンスターハンターライズ,666,7822,9541,0,0,-,2025-12-26 09:17:55
330836,エスパス新宿歌舞伎町,2025-04-13,Lパチスロ かぐや様は告らせたい,137,7295,8538,0,0,-,2025-12-26 09:17:55
330837,エスパス新宿歌舞伎町,2025-04-13,スマスロ モンスターハンターライズ,680,6994,7986,0,0,-,2025-12-26 09:17:55
330838,エスパス新宿歌舞伎町,2025-04-13,Lパチスロからくりサーカス,107,6926,8180,0,0,-,2025-12-26 09:17:55
330839,エスパス新宿歌舞伎町,2025-04-13,Lパチスロ かぐや様は告らせたい,144,6834,9549,0,0,-,2025-12-26 09:17:55
330840,エスパス新宿歌舞伎町,2025-04-13,Lパチスロからくりサーカス,152,6798,6985,0,0,-,2025-12-26 09:17:55
330841,エスパス新宿歌舞伎町,2025-04-13,スマスロ モンスターハンターライズ,670,6590,8547,0,0,-,2025-12-26 09:17:55
330842,エスパス新宿歌舞伎町,2025-04-13,スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,700,6507,5662,0,0,-,2025-12-26 09:17:55
330843,エスパス新宿歌舞伎町,2025-04-13,Lパチスロ かぐや様は告らせたい,18,6403,7549,0,0,-,2025-12-26 09:17:55
330844,エスパス新宿歌舞伎町,2025-04-13,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,869,6384,4157,0,0,-,2025-12-26 09:17:55
330845,エスパス新宿歌舞伎町,2025-04-13,スマスロモンキーターンV,718,6017,8235,0,0,-,2025-12-26 09:17:55
330846,エスパス新宿歌舞伎町,2025-04-13,Lスマスロ北斗の拳,74,5797,5071,78,3,1/63,2025-12-26 09:17:55
330847,エスパス新宿歌舞伎町,2025-04-13,Lパチスロガールズ＆パンツァー 最終章,1425,5792,2487,0,0,-,2025-12-26 09:17:55
330848,エスパス新宿歌舞伎町,2025-04-13,Lスマスロ北斗の拳,72,5616,8571,99,24,1/70,2025-12-26 09:17:55
330849,エスパス新宿歌舞伎町,2025-04-13,ウルトラミラクルジャグラー,1091,5615,8544,0,0,-,2025-12-26 09:17:55
330850,エスパス新宿歌舞伎町,2025-04-13,キングハナハナ-30,1446,5513,8794,0,0,-,2025-12-26 09:17:55
330851,エスパス新宿歌舞伎町,2025-04-13,A-SLOT+ ディスクアップ ULTRAREMIX,1357,5507,6852,36,15,1/134,2025-12-26 09:17:55
330852,エスパス新宿歌舞伎町,2025-04-13,Lパチスロ革命機ヴァルヴレイヴ,82,5127,5274,0,0,-,2025-12-26 09:17:55
330853,エスパス新宿歌舞伎町,2025-04-13,スマスロモンキーターンV,703,5021,8150,0,0,-,2025-12-26 09:17:55
330854,エスパス新宿歌舞伎町,2025-04-13,Lパチスロ ありふれた職業で世界最強,808,4797,8974,0,0,-,2025-12-26 09:17:55
330855,エスパス新宿歌舞伎町,2025-04-13,Lスマスロ北斗の拳,56,4709,8817,99,21,1/73,2025-12-26 09:17:55
330856,エスパス新宿歌舞伎町,2025-04-13,スマスロ スーパーブラックジャック,654,4703,4278,0,0,-,2025-12-26 09:17:55
330857,エスパス新宿歌舞伎町,2025-04-13,Lパチスロ ありふれた職業で世界最強,806,4525,8508,0,0,-,2025-12-26 09:17:55
330858,エスパス新宿歌舞伎町,2025-04-13,スマスロ ゴッドイーター リザレクション,632,4509,6032,0,0,-,2025-12-26 09:17:55
330859,エスパス新宿歌舞伎町,2025-04-13,Lパチスロ ありふれた職業で世界最強,804,4495,8914,0,0,-,2025-12-26 09:17:55
330860,エスパス新宿歌舞伎町,2025-04-13,L ToLOVEるダークネス,30,4304,8344,0,0,-,2025-12-26 09:17:55
330861,エスパス新宿歌舞伎町,2025-04-13,スマスロ ゴッドイーター リザレクション,637,4299,5351,0,0,-,2025-12-26 09:17:55
330862,エスパス新宿歌舞伎町,2025-04-13,Lゴジラ対エヴァンゲリオン,12,4288,8385,0,0,-,2025-12-26 09:17:55
330863,エスパス新宿歌舞伎町,2025-04-13,Lゴジラ,3,4211,7525,0,0,-,2025-12-26 09:17:55
330864,エスパス新宿歌舞伎町,2025-04-13,Lパチスロ ダンベル何キロ持てる？,811,4100,6609,0,0,-,2025-12-26 09:17:55
330865,エスパス新宿歌舞伎町,2025-04-13,スマスロ シャーマンキング,1334,4002,6876,0,0,-,2025-12-26 09:17:55
330866,エスパス新宿歌舞伎町,2025-04-13,Lスーパービンゴネオ,14,4002,4113,0,0,-,2025-12-26 09:17:55
330867,エスパス新宿歌舞伎町,2025-04-13,キングハナハナ-30,1445,3917,7765,0,0,-,2025-12-26 09:17:55
330868,エスパス新宿歌舞伎町,2025-04-13,Lスマスロ北斗の拳,47,3907,8582,86,23,1/79,2025-12-26 09:17:55
330869,エスパス新宿歌舞伎町,2025-04-13,Lうしおととら 白面決戦,854,3819,9497,0,0,-,2025-12-26 09:17:55
330870,エスパス新宿歌舞伎町,2025-04-13,L犬夜叉2,850,3724,5882,0,0,-,2025-12-26 09:17:55
330871,エスパス新宿歌舞伎町,2025-04-13,キングハナハナ-30,1458,3703,8625,0,0,-,2025-12-26 09:17:55
330872,エスパス新宿歌舞伎町,2025-04-13,スマスロ頭文字D 2nd,662,3696,5440,0,0,-,2025-12-26 09:17:55
