機種,台番,差枚,G数,出率,BB,RB,合成
Lパチスロからくりサーカス,95,"10,813","5,191",169.4%,-,-,-
スマスロ ゴッドイーター リザレクション,642,"10,487","3,432",201.9%,-,-,-
回胴黙示録カイジ 狂宴,1331,"10,227","9,175",137.2%,-,-,-
Lパチスロからくりサーカス,145,"10,104","2,761",222%,-,-,-
スマスロ ゴッドイーター リザレクション,638,"8,938","5,317",156%,-,-,-
Lパチスロ かぐや様は告らせたい,144,"8,895","6,798",143.6%,-,-,-
スマスロ ようこそ実力至上主義の教室へ,1330,"8,581","4,337",166%,-,-,-
沖ドキ！ＧＯＬＤ-30,1309,"8,214","8,272",133.1%,-,-,-
Lパチスロ ありふれた職業で世界最強,1352,"8,003","3,763",170.9%,-,-,-
パチスロ　甲鉄城のカバネリ,1424,"7,722",615,518.5%,-,-,-
Lルパン三世 大航海者の秘宝,1344,"7,013","2,600",189.9%,-,-,-
L戦国乙女４　戦乱に閃く炯眼の軍師,834,"6,389","5,570",138.2%,-,-,-
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,871,"6,227","3,632",157.1%,-,-,-
Lスマスロ北斗の拳,59,"6,221","3,010",168.9%,62,2,1/47
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,867,"5,898","4,078",148.2%,-,-,-
パチスロ　甲鉄城のカバネリ,1428,"5,725","2,123",189.9%,-,-,-
L ToLOVEるダークネス TRANCE ver.8.7,26,"5,605","6,046",130.9%,-,-,-
スマスロ シャーマンキング,802,"5,407","3,565",150.6%,-,-,-
スマスロモンキーターンV,724,"5,403","5,642",131.9%,-,-,-
ドラゴンハナハナ～閃光～‐30,1434,"5,300","9,022",119.6%,-,-,-
ドラゴンハナハナ～閃光～‐30,1431,"4,917","8,904",118.4%,-,-,-
押忍！番長4,1414,"4,804","4,321",137.1%,-,-,-
Lパチスロ かぐや様は告らせたい,137,"4,701","3,278",147.8%,-,-,-
スマスロ 緑ドン VIVA!情熱南米編 REVIVAL,690,"4,314","3,478",141.3%,-,-,-
スマスロモンキーターンV,773,"4,102","7,570",118.1%,-,-,-
Lソードアート・オンライン,1408,"4,098","7,073",119.3%,-,-,-
スマスロ シャーマンキング,803,"4,098","3,624",137.7%,-,-,-
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,869,"4,097","2,815",148.5%,-,-,-
キングハナハナ-30,1444,"4,096","8,495",116.1%,-,-,-
Lパチスロ 機動戦士ガンダムSEED,11,"4,005",701,290.4%,-,-,-
スマスロ モンスターハンターライズ,667,"4,004","5,110",126.1%,-,-,-
スマスロ ゴッドイーター リザレクション,648,"3,998","4,101",132.5%,-,-,-
吉宗,864,"3,991","6,970",119.1%,-,-,-
花笠,1402,"3,912","3,401",138.3%,-,-,-
L ＨＥＹ！エリートサラリーマン鏡,1415,"3,819","5,907",121.6%,-,-,-
Lパチスロ かぐや様は告らせたい,125,"3,710","5,827",121.2%,-,-,-
沖ドキ！ＧＯＬＤ-30,1310,"3,707","6,378",119.4%,-,-,-
スロット ゾンビランドサガ,1406,"3,422","6,068",118.8%,-,-,-
Lパチスロからくりサーカス,112,"3,413","5,816",119.6%,-,-,-
L少女☆歌劇 レヴュースタァライト -The SLOT-,658,"3,304","6,013",118.3%,-,-,-
Lパチスロ かぐや様は告らせたい,133,"3,302","2,179",150.5%,-,-,-
Lスマスロ北斗の拳,48,"3,207","5,793",118.5%,61,12,1/79
Lスマスロ北斗の拳,50,"3,203","8,854",112.1%,89,23,1/79
スマスロ ゴッドイーター リザレクション,647,"3,201","1,480",172.1%,-,-,-
花笠,1395,"3,021","5,559",118.1%,-,-,-
スマスロ モンスターハンターライズ,662,"2,913","3,405",128.5%,-,-,-
ドラゴンハナハナ～閃光～‐30,1433,"2,903","9,310",110.4%,-,-,-
ドラゴンハナハナ～閃光～‐30,1432,"2,901","9,466",110.2%,-,-,-
ドラゴンハナハナ～閃光～‐30,1436,"2,900","9,104",110.6%,-,-,-
ゴーゴージャグラー３,1104,"2,899","6,492",114.9%,35,23,1/112
SアイムジャグラーＥＸ,1082,"2,899","5,648",117.1%,29,21,1/113
新ハナビ,1383,"2,899","6,974",113.9%,-,-,-
マイジャグラーV,768,"2,811","7,238",112.9%,37,23,1/121
L東京喰種,852,"2,709","7,656",111.8%,-,-,-
ファンキージャグラー２ＫＴ,1158,"2,616","5,049",117.3%,31,13,1/115
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,873,"2,602","3,045",128.5%,-,-,-
Lパチスロ かぐや様は告らせたい,123,"2,596","1,744",149.6%,-,-,-
ジャグラーガールズSS,1168,"2,595","5,582",115.5%,-,-,-
L東京喰種,838,"2,593","7,648",111.3%,-,-,-
ファンキージャグラー２ＫＴ,760,"2,512","5,509",115.2%,31,16,1/117
スマスロ ゴッドイーター リザレクション,644,"2,508","1,455",157.5%,-,-,-
新ハナビ,1382,"2,507","5,512",115.2%,-,-,-
Lソードアート・オンライン,1410,"2,499","5,631",114.8%,-,-,-
スマスロ 緑ドン VIVA!情熱南米編 REVIVAL,774,"2,405","2,639",130.4%,-,-,-
Lパチスロ かぐや様は告らせたい,122,"2,401","1,607",149.8%,-,-,-
Lスマスロ北斗の拳,53,"2,303","5,398",114.2%,59,13,1/75
マイジャグラーV,1129,"2,297","6,837",111.2%,34,28,1/110
マイジャグラーV,1031,"2,297","6,574",111.6%,30,25,1/120
Lパチスロ革命機ヴァルヴレイヴ,82,"2,296","4,869",115.7%,-,-,-
マイジャグラーV,1049,"2,216","6,358",111.6%,34,20,1/118
マイジャグラーV,737,"2,215","8,458",108.7%,38,29,1/126
Lパチスロ 機動戦士ガンダムSEED,20,"2,214","3,326",122.2%,-,-,-
SアイムジャグラーＥＸ,1098,"2,210","6,914",110.7%,32,24,1/123
マイジャグラーV,604,"2,210","8,366",108.8%,41,19,1/139
Lパチスロからくりサーカス,101,"2,207","4,533",116.2%,-,-,-
L東京喰種,841,"2,193","4,800",115.2%,-,-,-
スマスロ ようこそ実力至上主義の教室へ,1329,"2,110","2,842",124.7%,-,-,-
キングハナハナ-30,1461,"2,102","8,950",107.8%,-,-,-
マイジャグラーV,770,"2,101","8,417",108.3%,36,33,1/122
キングハナハナ-30,1460,"2,004","9,244",107.2%,-,-,-
スマスロモンキーターンV,717,"2,002","3,036",122%,-,-,-
A-SLOT+ ディスクアップ ULTRAREMIX,1358,"2,002","5,117",113%,21,14,1/146
スマスロモンキーターンV,705,"2,000","5,301",112.6%,-,-,-
ゴーゴージャグラー３,1112,"1,998","3,831",117.4%,25,9,1/113
キングハナハナ-30,1459,"1,998","9,500",107%,-,-,-
新ハナビ,1381,"1,995","6,360",110.5%,-,-,-
ドラゴンハナハナ～閃光～‐30,1430,"1,916","7,722",108.3%,-,-,-
