機種,台番,差枚,G数,出率,BB,RB,合成
スマスロ ゴッドイーター リザレクション,282,"10,375","2,966",216.6%,-,-,-
L主役は銭形5,396,"5,584","7,763",124%,-,-,-
いざ！番長,397,"3,979","8,312",116%,-,-,-
スマスロ新鬼武者3,357,"3,750","7,315",117.1%,-,-,-
Lパチスロからくりサーカス,311,"3,695","4,483",127.5%,-,-,-
マイジャグラーV,332,"3,000","7,458",113.4%,39,21,1/124
スマスロ バベル,263,"2,813","4,820",119.5%,-,-,-
マイジャグラーV,363,"2,698","8,638",110.4%,40,33,1/118
マイジャグラーV,336,"2,656","6,997",112.7%,34,23,1/123
A-SLOT+ ディスクアップ ULTRAREMIX,440,"2,635","3,523",124.9%,16,7,1/153
マイジャグラーV,365,"2,000","7,538",108.8%,37,20,1/132
マジカルハロウィン ボーナストリガー,267,"1,937","7,015",109.2%,-,-,-
スマスロモンキーターンV,274,"1,646","4,648",111.8%,-,-,-
スマスロ ゴッドイーター リザレクション,283,"1,590","2,885",118.4%,-,-,-
クレアの秘宝伝～はじまりの扉と太陽の石～ボーナストリガーver.,265,"1,583","4,281",112.3%,-,-,-
ネオアイムジャグラーEX,417,"1,563","5,502",109.5%,26,24,1/110
マイジャグラーV,328,"1,448","8,452",105.7%,37,30,1/126
スマスロ シャーマンキング,443,"1,389","1,968",123.5%,-,-,-
スマスロ 東京リベンジャーズ,340,"1,385","4,530",110.2%,-,-,-
Lスマスロ北斗の拳,322,"1,364","1,057",143%,19,2,1/50
いざ！番長,401,"1,166","5,774",106.7%,-,-,-
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,352,"1,151","3,125",112.3%,-,-,-
スマスロ 東京リベンジャーズ,345,"1,125","3,225",111.6%,-,-,-
スマスロモンキーターンV,278,"1,094","3,632",110%,-,-,-
マイジャグラーV,424,"1,068","3,866",109.2%,19,9,1/138
ファンキージャグラー２ＫＴ,383,"1,036","1,743",119.8%,11,6,1/103
アナターのオット！？はーです,445,984,744,144.1%,-,-,-
Lパチスロからくりサーカス,301,880,440,166.7%,-,-,-
Lパチスロからくりサーカス,312,823,"1,724",115.9%,-,-,-
パチスロ わたしの幸せな結婚,436,802,653,140.9%,-,-,-
クレアの秘宝伝～はじまりの扉と太陽の石～ボーナストリガーver.,266,765,"4,959",105.1%,-,-,-
マイジャグラーV,335,750,"8,039",103.1%,34,20,1/149
吉宗,389,713,708,133.6%,-,-,-
スマスロ新鬼武者3,359,688,"7,232",103.2%,-,-,-
沖ドキ！DUO,465,660,"3,519",106.3%,-,-,-
スマスロ モンスターハンターライズ,348,656,"2,138",110.2%,-,-,-
アレックス ブライト,272,639,"4,389",104.9%,-,-,-
スマスロ 東京リベンジャーズ,344,625,"1,878",111.1%,-,-,-
沖ドキ！DUO,464,609,509,139.9%,-,-,-
マイジャグラーV,338,588,"5,047",103.9%,23,13,1/140
スマスロ 東京リベンジャーズ,341,576,"3,866",105%,-,-,-
Lアズールレーン THE ANIMATION,307,556,"3,781",104.9%,-,-,-
ファンキージャグラー２ＫＴ,384,489,"3,129",105.2%,15,7,1/142
吉宗,390,484,874,118.5%,-,-,-
マイジャグラーV,373,417,"4,429",103.1%,19,8,1/164
ハッピージャグラーＶＩＩＩ,376,416,"6,648",102.1%,25,24,1/136
LBパチスロ ヱヴァンゲリヲン～約束の扉～,270,396,"3,258",104.1%,-,-,-
L東京喰種,292,375,"2,256",105.5%,-,-,-
スマスロ デビルメイクライ5 スタイリッシュトライブ,408,359,"2,594",104.6%,-,-,-
マイジャグラーV,331,349,"2,236",105.2%,10,5,1/149
スマスロモンキーターンV,276,213,"1,480",104.8%,-,-,-
パチスロ　甲鉄城のカバネリ,450,198,"1,719",103.8%,-,-,-
ウルトラミラクルジャグラー,426,182,"1,138",105.3%,-,-,-
新ハナビ,430,174,"3,587",101.6%,-,-,-
Lスマスロ北斗の拳,320,166,367,115.1%,3,1,1/92
パチスロ　ディスクアップ２,467,130,"1,224",103.5%,3,4,1/175
