id,store_name,日付,機種,台番,差枚,G数,BB,RB,合成,updated_at
541565,ジャラン水元(旧ヴィーナス),2025-12-05,スマスロモンキーターンV,280,14513,9938,0,0,-,2025-12-26 09:18:02
541566,ジャラン水元(旧ヴィーナス),2025-12-05,パチスロ　バイオハザード　ＲＥ：２,452,6594,7779,0,0,-,2025-12-26 09:18:02
541567,ジャラン水元(旧ヴィーナス),2025-12-05,Lスマスロ北斗の拳,327,5437,3193,59,1,1/53,2025-12-26 09:18:02
541568,ジャラン水元(旧ヴィーナス),2025-12-05,Lパチスロ かぐや様は告らせたい,299,5146,4560,0,0,-,2025-12-26 09:18:02
541569,ジャラン水元(旧ヴィーナス),2025-12-05,Lパチスロ かぐや様は告らせたい,316,4771,4317,0,0,-,2025-12-26 09:18:02
541570,ジャラン水元(旧ヴィーナス),2025-12-05,SHAKE BONUS TRIGGER,264,3889,4551,0,0,-,2025-12-26 09:18:02
541571,ジャラン水元(旧ヴィーナス),2025-12-05,マイジャグラーV,335,3500,8247,43,33,1/109,2025-12-26 09:18:02
541572,ジャラン水元(旧ヴィーナス),2025-12-05,L東京喰種,289,3070,3656,0,0,-,2025-12-26 09:18:02
541573,ジャラン水元(旧ヴィーナス),2025-12-05,Lパチスロからくりサーカス,305,3000,2429,0,0,-,2025-12-26 09:18:02
541574,ジャラン水元(旧ヴィーナス),2025-12-05,Lパチスロ革命機ヴァルヴレイヴ2,307,2938,9525,0,0,-,2025-12-26 09:18:02
541575,ジャラン水元(旧ヴィーナス),2025-12-05,Lパチスロ かぐや様は告らせたい,313,2861,1764,0,0,-,2025-12-26 09:18:02
541576,ジャラン水元(旧ヴィーナス),2025-12-05,いざ！番長,401,2813,4761,0,0,-,2025-12-26 09:18:02
541577,ジャラン水元(旧ヴィーナス),2025-12-05,沖ドキ！ＧＯＬＤ,463,2427,1769,0,0,-,2025-12-26 09:18:02
541578,ジャラン水元(旧ヴィーナス),2025-12-05,L東京喰種,294,2375,3780,0,0,-,2025-12-26 09:18:02
541579,ジャラン水元(旧ヴィーナス),2025-12-05,マイジャグラーV,339,2156,7860,38,22,1/131,2025-12-26 09:18:02
541580,ジャラン水元(旧ヴィーナス),2025-12-05,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,351,2114,6862,0,0,-,2025-12-26 09:18:02
541581,ジャラン水元(旧ヴィーナス),2025-12-05,スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,438,2000,5555,0,0,-,2025-12-26 09:18:02
541582,ジャラン水元(旧ヴィーナス),2025-12-05,マイジャグラーV,419,2000,5479,30,13,1/127,2025-12-26 09:18:02
541583,ジャラン水元(旧ヴィーナス),2025-12-05,スマスロ新鬼武者3,359,1958,5085,0,0,-,2025-12-26 09:18:02
541584,ジャラン水元(旧ヴィーナス),2025-12-05,L絶対衝激IV,443,1958,3003,0,0,-,2025-12-26 09:18:02
541585,ジャラン水元(旧ヴィーナス),2025-12-05,ネオアイムジャグラーEX,429,1937,5488,27,14,1/134,2025-12-26 09:18:02
541586,ジャラン水元(旧ヴィーナス),2025-12-05,マイジャグラーV,336,1826,7567,33,24,1/133,2025-12-26 09:18:02
541587,ジャラン水元(旧ヴィーナス),2025-12-05,スマスロ 東京リベンジャーズ,342,1781,2187,0,0,-,2025-12-26 09:18:02
541588,ジャラン水元(旧ヴィーナス),2025-12-05,ネオアイムジャグラーEX,432,1757,5446,28,16,1/124,2025-12-26 09:18:02
541589,ジャラン水元(旧ヴィーナス),2025-12-05,L主役は銭形5,403,1653,6252,0,0,-,2025-12-26 09:18:02
541590,ジャラン水元(旧ヴィーナス),2025-12-05,マイジャグラーV,331,1541,6463,28,18,1/141,2025-12-26 09:18:02
541591,ジャラン水元(旧ヴィーナス),2025-12-05,マイジャグラーV,363,1472,5667,27,16,1/132,2025-12-26 09:18:02
541592,ジャラン水元(旧ヴィーナス),2025-12-05,ファンキージャグラー２ＫＴ,383,1424,5408,25,18,1/126,2025-12-26 09:18:02
541593,ジャラン水元(旧ヴィーナス),2025-12-05,押忍！番長ＺＥＲＯ,446,1306,4346,0,0,-,2025-12-26 09:18:02
541594,ジャラン水元(旧ヴィーナス),2025-12-05,L東京喰種,290,1250,6417,0,0,-,2025-12-26 09:18:02
541595,ジャラン水元(旧ヴィーナス),2025-12-05,L東京喰種,293,1222,4978,0,0,-,2025-12-26 09:18:02
541596,ジャラン水元(旧ヴィーナス),2025-12-05,マイジャグラーV,421,1177,7468,30,25,1/136,2025-12-26 09:18:02
541597,ジャラン水元(旧ヴィーナス),2025-12-05,ファンキージャグラー２ＫＴ,380,1125,7784,33,22,1/142,2025-12-26 09:18:02
541598,ジャラン水元(旧ヴィーナス),2025-12-05,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,352,1120,3916,0,0,-,2025-12-26 09:18:02
541599,ジャラン水元(旧ヴィーナス),2025-12-05,Lパチスロ革命機ヴァルヴレイヴ2,308,1063,6054,0,0,-,2025-12-26 09:18:02
541600,ジャラン水元(旧ヴィーナス),2025-12-05,Lパチスロ かぐや様は告らせたい,314,1014,5571,0,0,-,2025-12-26 09:18:02
541601,ジャラン水元(旧ヴィーナス),2025-12-05,Lスマスロ北斗の拳,324,984,5717,53,16,1/83,2025-12-26 09:18:02
541602,ジャラン水元(旧ヴィーナス),2025-12-05,スマスロ 東京リベンジャーズ,340,917,5706,0,0,-,2025-12-26 09:18:02
541603,ジャラン水元(旧ヴィーナス),2025-12-05,ネオアイムジャグラーEX,428,875,4577,21,10,1/148,2025-12-26 09:18:02
541604,ジャラン水元(旧ヴィーナス),2025-12-05,Lスマスロ北斗の拳,326,833,2064,19,7,1/79,2025-12-26 09:18:02
541605,ジャラン水元(旧ヴィーナス),2025-12-05,マイジャグラーV,329,812,5571,22,24,1/121,2025-12-26 09:18:02
541606,ジャラン水元(旧ヴィーナス),2025-12-05,マイジャグラーV,328,797,8156,35,24,1/138,2025-12-26 09:18:02
541607,ジャラン水元(旧ヴィーナス),2025-12-05,新ハナビ,466,786,4398,0,0,-,2025-12-26 09:18:02
541608,ジャラン水元(旧ヴィーナス),2025-12-05,マイジャグラーV,338,677,3908,17,10,1/145,2025-12-26 09:18:02
541609,ジャラン水元(旧ヴィーナス),2025-12-05,スマスロ新鬼武者3,360,645,4655,0,0,-,2025-12-26 09:18:02
541610,ジャラン水元(旧ヴィーナス),2025-12-05,スマスロ ゴッドイーター リザレクション,281,620,3531,0,0,-,2025-12-26 09:18:02
541611,ジャラン水元(旧ヴィーナス),2025-12-05,ハッピージャグラーＶＩＩＩ,377,588,1250,9,1,1/125,2025-12-26 09:18:02
541612,ジャラン水元(旧ヴィーナス),2025-12-05,ゴーゴージャグラー３,411,576,5741,27,14,1/140,2025-12-26 09:18:02
541613,ジャラン水元(旧ヴィーナス),2025-12-05,沖ドキ!ゴージャス 25Φ,461,563,2264,0,0,-,2025-12-26 09:18:02
541614,ジャラン水元(旧ヴィーナス),2025-12-05,ハッピージャグラーＶＩＩＩ,379,515,4374,17,16,1/133,2025-12-26 09:18:02
541615,ジャラン水元(旧ヴィーナス),2025-12-05,パチスロ　甲鉄城のカバネリ,449,448,3651,0,0,-,2025-12-26 09:18:02
541616,ジャラン水元(旧ヴィーナス),2025-12-05,スマスロとある科学の超電磁砲2,395,416,5806,0,0,-,2025-12-26 09:18:02
541617,ジャラン水元(旧ヴィーナス),2025-12-05,ゴーゴージャグラー３,412,375,2844,13,8,1/135,2025-12-26 09:18:02
541618,ジャラン水元(旧ヴィーナス),2025-12-05,スマスロ 東京リベンジャーズ,343,347,4925,0,0,-,2025-12-26 09:18:02
541619,ジャラン水元(旧ヴィーナス),2025-12-05,マイジャグラーV,334,338,4627,20,9,1/160,2025-12-26 09:18:02
541620,ジャラン水元(旧ヴィーナス),2025-12-05,ミスタージャグラー,418,318,4043,0,0,-,2025-12-26 09:18:02
541621,ジャラン水元(旧ヴィーナス),2025-12-05,ウルトラミラクルジャグラー,415,318,4325,0,0,-,2025-12-26 09:18:02
541622,ジャラン水元(旧ヴィーナス),2025-12-05,スマスロ デビルメイクライ5 スタイリッシュトライブ,409,302,2989,0,0,-,2025-12-26 09:18:02
541623,ジャラン水元(旧ヴィーナス),2025-12-05,マイジャグラーV,369,286,4217,20,8,1/151,2025-12-26 09:18:02
541624,ジャラン水元(旧ヴィーナス),2025-12-05,マジカルハロウィン ボーナストリガー,267,250,2279,0,0,-,2025-12-26 09:18:02
541625,ジャラン水元(旧ヴィーナス),2025-12-05,ゴーゴージャグラー３,413,234,4923,20,17,1/133,2025-12-26 09:18:02
541626,ジャラン水元(旧ヴィーナス),2025-12-05,A-SLOT+ ディスクアップ ULTRAREMIX,442,222,1768,7,5,1/147,2025-12-26 09:18:02
541627,ジャラン水元(旧ヴィーナス),2025-12-05,沖ドキ！ＧＯＬＤ,462,219,1288,0,0,-,2025-12-26 09:18:02
541628,ジャラン水元(旧ヴィーナス),2025-12-05,パチスロ　甲鉄城のカバネリ,450,218,5967,0,0,-,2025-12-26 09:18:02
541629,ジャラン水元(旧ヴィーナス),2025-12-05,バーニングエクスプレス,318,208,1833,0,0,-,2025-12-26 09:18:02
541630,ジャラン水元(旧ヴィーナス),2025-12-05,スマスロモンキーターンV,275,182,4231,0,0,-,2025-12-26 09:18:02
541631,ジャラン水元(旧ヴィーナス),2025-12-05,ハッピージャグラーＶＩＩＩ,375,182,2707,11,6,1/159,2025-12-26 09:18:02
541632,ジャラン水元(旧ヴィーナス),2025-12-05,マイジャグラーV,370,166,5234,20,16,1/145,2025-12-26 09:18:02
541633,ジャラン水元(旧ヴィーナス),2025-12-05,ジャグラーガールズSS,385,130,6431,0,0,-,2025-12-26 09:18:02
541634,ジャラン水元(旧ヴィーナス),2025-12-05,マイジャグラーV,333,125,6372,26,12,1/168,2025-12-26 09:18:02
541635,ジャラン水元(旧ヴィーナス),2025-12-05,L咲-Saki-頂上決戦,349,114,1319,0,0,-,2025-12-26 09:18:02
541636,ジャラン水元(旧ヴィーナス),2025-12-05,スマスロ ゴッドイーター リザレクション,284,76,1756,0,0,-,2025-12-26 09:18:02
