id,store_name,日付,機種,台番,差枚,G数,BB,RB,合成,updated_at
649306,マルハン亀有,2025-08-19,スマスロ スーパーブラックジャック,1031,13900,3747,0,0,-,2025-12-26 09:18:07
649307,マルハン亀有,2025-08-19,L東京喰種,848,10500,8420,0,0,-,2025-12-26 09:18:07
649308,マルハン亀有,2025-08-19,スマスロ スーパーブラックジャック,1030,9500,2994,0,0,-,2025-12-26 09:18:07
649309,マルハン亀有,2025-08-19,Lアズールレーン THE ANIMATION,617,8600,6857,0,0,-,2025-12-26 09:18:07
649310,マルハン亀有,2025-08-19,L咲-Saki-頂上決戦,657,8300,4858,0,0,-,2025-12-26 09:18:07
649311,マルハン亀有,2025-08-19,Lパチスロ かぐや様は告らせたい,887,7700,8735,0,0,-,2025-12-26 09:18:07
649312,マルハン亀有,2025-08-19,Lパチスロ炎炎ノ消防隊,967,7300,4577,0,0,-,2025-12-26 09:18:07
649313,マルハン亀有,2025-08-19,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,958,6300,1882,0,0,-,2025-12-26 09:18:07
649314,マルハン亀有,2025-08-19,Lスマスロ北斗の拳,923,6000,8501,103,22,1/68,2025-12-26 09:18:07
649315,マルハン亀有,2025-08-19,Lパチスロからくりサーカス,893,5900,3031,0,0,-,2025-12-26 09:18:07
649316,マルハン亀有,2025-08-19,スマスロ ギルティクラウン2,960,5300,109,0,0,-,2025-12-26 09:18:07
649317,マルハン亀有,2025-08-19,吉宗,863,5300,5401,0,0,-,2025-12-26 09:18:07
649318,マルハン亀有,2025-08-19,パチスロ炎炎ノ消防隊,662,5300,9194,0,0,-,2025-12-26 09:18:07
649319,マルハン亀有,2025-08-19,スマスロ モンスターハンターライズ,588,5200,2971,0,0,-,2025-12-26 09:18:07
649320,マルハン亀有,2025-08-19,Lスマスロ北斗の拳,998,5100,3840,60,5,1/59,2025-12-26 09:18:07
649321,マルハン亀有,2025-08-19,Lパチスロ革命機ヴァルヴレイヴ,1041,5000,5031,0,0,-,2025-12-26 09:18:07
649322,マルハン亀有,2025-08-19,L東京喰種,849,4900,8997,0,0,-,2025-12-26 09:18:07
649323,マルハン亀有,2025-08-19,ファンキージャグラー２ＫＴ,751,4800,7135,41,28,1/103,2025-12-26 09:18:07
649324,マルハン亀有,2025-08-19,スマスロ バイオハザード5,944,4700,6101,0,0,-,2025-12-26 09:18:07
649325,マルハン亀有,2025-08-19,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,603,4600,6845,0,0,-,2025-12-26 09:18:07
649326,マルハン亀有,2025-08-19,吉宗,858,4400,3645,0,0,-,2025-12-26 09:18:07
649327,マルハン亀有,2025-08-19,L東京喰種,840,4400,6190,0,0,-,2025-12-26 09:18:07
