機種,台番,差枚,G数,出率,BB,RB,合成
Lパチスロ革命機ヴァルヴレイヴ2,882,"18,200","6,570",192.3%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ2,880,"9,900","9,419",135%,-,-,-
スマスロ新鬼武者3,853,"8,600","7,550",138%,-,-,-
スマスロ化物語,917,"7,300","9,046",126.9%,-,-,-
L主役は銭形5,607,"7,300","4,219",157.7%,-,-,-
スマスロモンキーターンV,629,"7,300","6,196",139.3%,-,-,-
L東京喰種,845,"7,200","5,460",144%,-,-,-
L東京喰種,849,"7,100","8,168",129%,-,-,-
Lスマスロ北斗の拳,927,"7,100","10,257",123.1%,120,27,1/70
スマスロモンキーターンV,633,"6,800","4,964",145.7%,-,-,-
パチスロ 転生したら剣でした,945,"6,800","7,301",131%,-,-,-
Lスマスロ北斗の拳,993,"6,500","5,421",140%,86,3,1/61
スマスロ デビルメイクライ5 スタイリッシュトライブ,942,"6,300","2,058",202%,-,-,-
いざ！番長,658,"6,200","8,483",124.4%,-,-,-
Lアズールレーン THE ANIMATION,950,"6,000","6,990",128.6%,-,-,-
Lパチスロからくりサーカス,1041,"6,000","1,406",242.2%,-,-,-
ハッピージャグラーＶＩＩＩ,806,"5,900","7,774",125.3%,50,29,1/98
いざ！番長,651,"5,800","6,387",130.3%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ2,885,"5,200","8,411",120.6%,-,-,-
スマスロ バイオハザード5,936,"5,200","6,916",125.1%,-,-,-
スマスロ 東京リベンジャーズ,894,"5,100","3,435",149.5%,-,-,-
沖ドキ!ゴージャス 25Φ,679,"5,000","3,592",146.4%,-,-,-
スマスロ スーパーブラックジャック,1027,"4,700",734,313.4%,-,-,-
L東京喰種,837,"4,700","5,788",127.1%,-,-,-
スマスロ デビルメイクライ5 スタイリッシュトライブ,941,"4,400","3,121",147%,-,-,-
Lパチスロ炎炎ノ消防隊,973,"4,300","5,408",126.5%,-,-,-
スマスロ モンスターハンターライズ,1038,"3,800","7,815",116.2%,-,-,-
スマスロ新鬼武者3,856,"3,800","3,675",134.5%,-,-,-
L東京喰種,848,"3,600","8,708",113.8%,-,-,-
ゴーゴージャグラー３,698,"3,600","6,785",117.7%,41,26,1/101
スマスロ化物語,916,"3,500","7,776",115%,-,-,-
スマスロ モンスターハンターライズ,1039,"3,400","1,671",167.8%,-,-,-
スマスロ新鬼武者3,859,"3,400","3,223",135.2%,-,-,-
L東京喰種,843,"3,300","8,743",112.6%,-,-,-
Lスマスロ北斗の拳,929,"3,300","9,234",111.9%,94,23,1/79
沖ドキ!ゴージャス 25Φ,676,"3,300","2,256",148.8%,-,-,-
いざ！番長,659,"3,200","4,040",126.4%,-,-,-
Lアズールレーン THE ANIMATION,949,"3,200","5,055",121.1%,-,-,-
スマスロとある科学の超電磁砲2,604,"3,200","5,630",118.9%,-,-,-
クランキークレスト,694,"3,100","5,661",118.3%,-,-,-
スマスロモンキーターンV,637,"3,000","4,731",121.1%,-,-,-
マイジャグラーV,742,"2,900","7,086",113.6%,38,16,1/131
Lパチスロ革命機ヴァルヴレイヴ2,866,"2,700","4,734",119%,-,-,-
パチスロ　ディスクアップ２,690,"2,600","5,744",115.1%,24,10,1/169
ゴーゴージャグラー３,696,"2,600","6,883",112.6%,35,28,1/109
スマスロモンキーターンV,642,"2,500","5,803",114.4%,-,-,-
スマスロ新鬼武者3,857,"2,500","3,779",122.1%,-,-,-
ファンキージャグラー２ＫＴ,762,"2,400","7,621",110.5%,38,19,1/134
ネオアイムジャグラーEX,829,"2,300","8,570",108.9%,37,30,1/128
Lスマスロ北斗の拳,930,"2,300","5,147",114.9%,60,7,1/77
Lパチスロからくりサーカス,1047,"2,300",858,189.4%,-,-,-
SアイムジャグラーＥＸ,807,"2,200","8,068",109.1%,32,44,1/106
ネオアイムジャグラーEX,815,"2,200","6,398",111.5%,30,24,1/118
Lパチスロ革命機ヴァルヴレイヴ2,887,"2,200","3,877",118.9%,-,-,-
スマスロモンキーターンV,631,"2,200","5,298",113.8%,-,-,-
Lパチスロ かぐや様は告らせたい,590,"2,100","4,911",114.3%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ2,877,"2,100","9,342",107.5%,-,-,-
マイジャグラーV,721,"2,100","8,545",108.2%,39,26,1/131
ファンキージャグラー２ＫＴ,760,"2,000","7,050",109.5%,37,16,1/133
ネオアイムジャグラーEX,823,"2,000","7,180",109.3%,34,24,1/124
パチスロ炎炎ノ消防隊,662,"2,000","3,143",121.2%,-,-,-
スマスロ 東京リベンジャーズ,899,"2,000","7,934",108.4%,-,-,-
Lアズールレーン THE ANIMATION,948,"1,800","5,129",111.7%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ2,879,"1,700","9,314",106.1%,-,-,-
沖ドキ!ゴージャス 25Φ,682,"1,700","2,017",128.1%,-,-,-
ネオアイムジャグラーEX,814,"1,700","6,525",108.7%,30,25,1/119
Lパチスロ かぐや様は告らせたい,588,"1,600","6,091",108.8%,-,-,-
スマスロモンキーターンV,632,"1,600","5,590",109.5%,-,-,-
ファンキージャグラー２ＫＴ,766,"1,600","4,073",113.1%,22,11,1/123
ネオアイムジャグラーEX,812,"1,600","6,715",107.9%,29,22,1/132
Lパチスロ革命機ヴァルヴレイヴ2,878,"1,600","9,612",105.5%,-,-,-
マイジャグラーV,710,"1,600","7,281",107.3%,34,21,1/132
スマスロモンキーターンV,628,"1,500","8,832",105.7%,-,-,-
Lダーリン・イン・ザ・フランキス,967,"1,500","2,384",121%,-,-,-
スマスロ スーパーブラックジャック,1024,"1,500","5,074",109.9%,-,-,-
ネオアイムジャグラーEX,831,"1,500","8,923",105.6%,36,29,1/137
Lパチスロ革命機ヴァルヴレイヴ2,881,"1,500","9,277",105.4%,-,-,-
Lスマスロ北斗の拳,924,"1,500","7,950",106.3%,69,17,1/92
ネオアイムジャグラーEX,819,"1,500","7,148",107%,27,30,1/125
Lスマスロ北斗の拳,928,"1,400","8,785",105.3%,74,27,1/87
ゴーゴージャグラー３,714,"1,400","5,845",108%,28,24,1/112
Lアズールレーン THE ANIMATION,947,"1,400","4,938",109.5%,-,-,-
パチスロ戦国恋姫,661,"1,400","4,335",110.8%,-,-,-
マイジャグラーV,730,"1,300","6,700",106.5%,33,13,1/146
ゴーゴージャグラー３,702,"1,300","4,284",110.1%,23,10,1/130
マイジャグラーV,743,"1,300","8,614",105%,38,24,1/139
ネオアイムジャグラーEX,833,"1,200","6,681",106%,32,16,1/139
いざ！番長,657,"1,200","2,699",114.8%,-,-,-
スマスロ 東京リベンジャーズ,895,"1,200","4,840",108.3%,-,-,-
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,600,"1,200","5,398",107.4%,-,-,-
パチスロ　ディスクアップ２,691,"1,200","4,596",108.7%,21,5,1/177
マイジャグラーV,724,"1,200","7,319",105.5%,29,24,1/138
