機種,台番,差枚,G数,出率,BB,RB,合成
スマスロ ゴッドイーター リザレクション,720,"17,170","9,999",157.2%,-,-,-
Lパチスロからくりサーカス,701,"15,320","7,377",169.2%,-,-,-
スマスロ ゴッドイーター リザレクション,717,"12,160","8,875",145.7%,-,-,-
Lパチスロ かぐや様は告らせたい,676,"10,110","8,676",138.8%,-,-,-
Lスーパービンゴネオ,624,"8,340","3,461",180.3%,-,-,-
スマスロ モンスターハンターライズ,758,"8,040","4,450",160.2%,-,-,-
スマスロモンキーターンV,659,"7,380","8,327",129.5%,-,-,-
スマスロ ギルティクラウン2,848,"7,220","5,298",145.4%,-,-,-
いざ！番長,790,"6,530","8,897",124.5%,-,-,-
Lパチスロからくりサーカス,703,"6,060","9,071",122.3%,-,-,-
スマスロモンキーターンV,655,"5,330","9,087",119.6%,-,-,-
スマスロ ゴッドイーター リザレクション,718,"5,290","5,472",132.2%,-,-,-
マイジャグラーV,521,"4,940","8,840",118.6%,46,38,1/105
Lスマスロ北斗の拳,808,"4,920","3,745",143.8%,59,6,1/58
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,798,"4,850","3,911",141.3%,-,-,-
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,827,"4,820","9,317",117.2%,-,-,-
Lパチスロからくりサーカス,705,"4,780","5,030",131.7%,-,-,-
スマスロ ギルティクラウン2,851,"4,470","7,238",120.6%,-,-,-
スマスロ バイオハザード5,767,"4,400","8,571",117.1%,-,-,-
スマスロ デビルメイクライ5 スタイリッシュトライブ,803,"4,220","7,431",118.9%,-,-,-
L麻雀物語,816,"4,120","5,475",125.1%,-,-,-
Lパチスロからくりサーカス,711,"4,070","4,303",131.5%,-,-,-
Lパチスロ かぐや様は告らせたい,685,"3,920","3,995",132.7%,-,-,-
Lパチスロ 機動戦士ガンダムSEED,785,"3,910","4,487",129%,-,-,-
Lパチスロからくりサーカス,707,"3,850","4,449",128.8%,-,-,-
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,797,"3,400","4,903",123.1%,-,-,-
Lパチスロ かぐや様は告らせたい,670,"3,380","6,681",116.9%,-,-,-
ゴーゴージャグラー３,554,"3,200","8,513",112.5%,45,31,1/112
スマスロ ゴッドイーター リザレクション,723,"3,130","4,114",125.4%,-,-,-
L ToLOVEるダークネス TRANCE ver.8.7,833,"3,130","6,798",115.3%,-,-,-
スマスロ モンスターハンターライズ,747,"3,120","7,929",113.1%,-,-,-
スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,781,"3,090","4,286",124%,-,-,-
スマスロモンキーターンV,644,"3,080","6,580",115.6%,-,-,-
Lスマスロ北斗の拳,806,"2,980","6,110",116.3%,66,11,1/79
翔べ！ハーレムエース,619,"2,850","7,699",112.3%,-,-,-
ファンキージャグラー２ＫＴ,577,"2,850","7,738",112.3%,35,33,1/114
スマスロ モンスターハンターライズ,741,"2,780","2,451",137.8%,-,-,-
Lパチスロ かぐや様は告らせたい,665,"2,780","5,630",116.5%,-,-,-
ジャグラーガールズSS,594,"2,770","8,151",111.3%,-,-,-
スマスロ バイオハザード5,762,"2,740","6,524",114%,-,-,-
スマスロモンキーターンV,649,"2,720","7,237",112.5%,-,-,-
吉宗,789,"2,680","7,695",111.6%,-,-,-
L ULTRAMAN,623,"2,600","3,448",125.1%,-,-,-
L戦国乙女４　戦乱に閃く炯眼の軍師,842,"2,560","4,285",119.9%,-,-,-
ゴーゴージャグラー３,553,"2,490","5,863",114.2%,30,29,1/99
ゴーゴージャグラー３,555,"2,350","5,577",114%,31,20,1/109
ウルトラミラクルジャグラー,566,"2,220","8,452",108.8%,-,-,-
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,796,"2,170","3,904",118.5%,-,-,-
Lゴジラ,626,"2,120","3,348",121.1%,-,-,-
マイジャグラーV,543,"2,010","7,384",109.1%,36,20,1/132
L絶対衝激～PLATONIC HEART～,847,"1,940","8,266",107.8%,-,-,-
L東京喰種,635,"1,900","6,736",109.4%,-,-,-
スマスロニューパルサーBT,617,"1,730","5,554",110.4%,-,-,-
ウルトラミラクルジャグラー,564,"1,710","8,416",106.8%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,774,"1,650","8,367",106.6%,-,-,-
マイジャグラーV,524,"1,570","6,348",108.2%,32,15,1/135
スマスロモンキーターンV,647,"1,540","9,551",105.4%,-,-,-
L麻雀物語,814,"1,490","7,550",106.6%,-,-,-
マイジャグラーV,547,"1,480","5,576",108.8%,29,11,1/139
新ハナビ,612,"1,480","5,939",108.3%,-,-,-
パチスロ　甲鉄城のカバネリ,607,"1,430","4,383",110.9%,-,-,-
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,826,"1,430","7,516",106.3%,-,-,-
スマスロ モンスターハンターライズ,756,"1,390","2,601",117.8%,-,-,-
ウルトラミラクルジャグラー,561,"1,360","6,496",107%,-,-,-
スマスロ ギルティクラウン2,849,"1,360","4,856",109.3%,-,-,-
Lスマスロ北斗の拳,807,"1,320","3,497",112.6%,39,3,1/83
Lルパン三世 大航海者の秘宝,831,"1,300","3,756",111.5%,-,-,-
沖ドキ!ゴージャス 25Φ,598,"1,210","1,579",125.5%,-,-,-
L戦国乙女４　戦乱に閃く炯眼の軍師,837,"1,200","5,413",107.4%,-,-,-
スマスロモンキーターンV,656,"1,180","4,183",109.4%,-,-,-
Lパチスロ 機動戦士ガンダムSEED,782,"1,170","4,330",109%,-,-,-
吉宗,786,"1,130","7,100",105.3%,-,-,-
スマスロ バイオハザード5,768,"1,100","5,562",106.6%,-,-,-
スマスロ モンスターハンターライズ,760,"1,040","6,279",105.5%,-,-,-
スマスロ ゴッドイーター リザレクション,721,"1,010","7,885",104.3%,-,-,-
スマスロ ゴッドイーター リザレクション,722,"1,000","3,219",110.4%,-,-,-
Lパチスロからくりサーカス,699,"1,000","4,527",107.4%,-,-,-
マイジャグラーV,507,990,"6,250",105.3%,28,14,1/149
L東京喰種,636,970,"7,024",104.6%,-,-,-
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,828,970,"8,610",103.8%,-,-,-
ジャグラーガールズSS,591,960,"4,269",107.5%,-,-,-
スマスロ モンスターハンターライズ,750,950,"2,364",113.4%,-,-,-
ウルトラミラクルジャグラー,569,920,"5,213",105.9%,-,-,-
いざ！番長,793,910,"7,286",104.2%,-,-,-
パチスロハイパーラッシュ,609,870,"6,657",104.4%,-,-,-
マイジャグラーV,511,860,"6,099",104.7%,27,16,1/142
L麻雀物語,813,810,"4,729",105.7%,-,-,-
スマスロ バイオハザード5,765,790,"6,845",103.8%,-,-,-
翔べ！ハーレムエース,620,780,"6,461",104%,-,-,-
スマスロ モンスターハンターライズ,754,780,"5,808",104.5%,-,-,-
スマスロ スーパーブラックジャック,823,760,"3,793",106.7%,-,-,-
マイジャグラーV,533,760,"9,239",102.7%,38,29,1/138
クランキークレスト,610,740,"2,125",111.6%,-,-,-
ゴーゴージャグラー３,557,740,"6,225",104%,21,35,1/111
マイジャグラーV,503,740,"3,462",107.1%,17,7,1/144
マイジャグラーV,525,730,"6,718",103.6%,27,20,1/143
パチスロ　甲鉄城のカバネリ,606,720,"2,014",111.9%,-,-,-
スマスロ ゴッドイーター リザレクション,714,690,"9,300",102.5%,-,-,-
SアイムジャグラーＥＸ,589,690,"5,666",104.1%,24,13,1/153
Lパチスロからくりサーカス,693,640,"3,317",106.4%,-,-,-
ファンキージャグラー２ＫＴ,578,620,"3,675",105.6%,15,14,1/127
マイジャグラーV,546,610,"7,264",102.8%,30,20,1/145
スマスロモンキーターンV,641,590,"7,804",102.5%,-,-,-
マイジャグラーV,537,540,"5,258",103.4%,22,11,1/159
Lパチスロ革命機ヴァルヴレイヴ,777,540,"7,488",102.4%,-,-,-
Lパチスロ かぐや様は告らせたい,687,520,"2,730",106.3%,-,-,-
Lパチスロ かぐや様は告らせたい,675,510,"1,933",108.8%,-,-,-
スマスロモンキーターンV,657,440,"8,583",101.7%,-,-,-
Lパチスロ かぐや様は告らせたい,680,440,"6,446",102.3%,-,-,-
Lパチスロからくりサーカス,710,420,"3,634",103.9%,-,-,-
ミスタージャグラー,580,410,"6,456",102.1%,-,-,-
Lパチスロからくりサーカス,690,390,"3,384",103.8%,-,-,-
SアイムジャグラーＥＸ,587,390,"6,031",102.2%,24,20,1/137
ミスタージャグラー,582,370,"6,429",101.9%,-,-,-
L戦国乙女４　戦乱に閃く炯眼の軍師,843,350,"5,283",102.2%,-,-,-
スマスロ モンスターハンターライズ,746,300,594,116.8%,-,-,-
Lスマスロ北斗の拳,812,300,"4,826",102.1%,46,9,1/88
Lパチスロ ダンベル何キロ持てる？,772,300,"2,008",105%,-,-,-
スマスロ ゴッドイーター リザレクション,724,270,"8,448",101.1%,-,-,-
ファンキージャグラー２ＫＴ,576,250,"1,133",107.4%,6,2,1/142
Lスマスロ北斗の拳,727,240,"6,485",101.2%,52,14,1/98
Lパチスロからくりサーカス,697,200,"7,427",100.9%,-,-,-
ゴーゴージャグラー３,549,160,"3,136",101.7%,15,5,1/157
マイジャグラーV,501,150,"6,850",100.7%,29,11,1/171
パチスロ　甲鉄城のカバネリ,603,130,"3,421",101.3%,-,-,-
パチスロ　甲鉄城のカバネリ,608,100,"2,155",101.5%,-,-,-
スマスロ モンスターハンターライズ,748,80,524,105.1%,-,-,-
ミスタージャグラー,579,70,781,103%,-,-,-
マイジャグラーV,532,60,"1,430",101.4%,5,5,1/143
マイジャグラーV,542,60,"4,554",100.4%,17,14,1/147
マイジャグラーV,522,40,"1,538",100.9%,6,3,1/171
スマスロ モンスターハンターライズ,757,20,"4,440",100.2%,-,-,-
パチスロ　甲鉄城のカバネリ,604,0,0,-,-,-,-
ウルトラミラクルジャグラー,562,0,"6,159",100%,-,-,-
ミスタージャグラー,583,-20,"1,696",99.6%,-,-,-
スマスロ モンスターハンターライズ,738,-30,"3,016",99.7%,-,-,-
L ToLOVEるダークネス TRANCE ver.8.7,834,-70,"5,820",99.6%,-,-,-
スマスロモンキーターンV,661,-90,"8,227",99.6%,-,-,-
A-SLOT+ ディスクアップ ULTRAREMIX,615,-100,"5,084",99.3%,16,15,1/164
沖ドキ!ゴージャス 25Φ,599,-100,"4,693",99.3%,-,-,-
Lパチスロ ダンベル何キロ持てる？,773,-110,"1,521",97.6%,-,-,-
Lパチスロからくりサーカス,698,-110,77,-,-,-,-
Lパチスロからくりサーカス,702,-120,90,-,-,-,-
Lスマスロ北斗の拳,805,-140,"4,778",99%,40,9,1/98
スマスロ 緑ドン VIVA!情熱南米編 REVIVAL,819,-150,"3,285",98.5%,-,-,-
ウルトラミラクルジャグラー,565,-150,"4,835",99%,-,-,-
