機種,台番,差枚,G数,出率,BB,RB,合成
Lルパン三世 大航海者の秘宝,3018,"9,760","5,253",161.9%,-,-,-
Lスマスロ北斗の拳,2088,"7,560","4,675",153.9%,84,8,1/51
Lスマスロ北斗の拳,2085,"7,400","4,956",149.8%,82,4,1/58
L主役は銭形5,2072,"7,250","4,047",159.7%,-,-,-
スマスロ スーパーブラックジャック,3135,"7,160","8,491",128.1%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ2,3183,"6,820","5,446",141.7%,-,-,-
Lスマスロ北斗の拳,2096,"6,150","5,283",138.8%,80,9,1/59
スマスロ 東京リベンジャーズ,3146,"5,660","6,834",127.6%,-,-,-
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,3080,"5,660","4,912",138.4%,-,-,-
吉宗,2065,"5,610","2,068",190.4%,-,-,-
スマスロモンキーターンV,2042,"5,570","7,825",123.7%,-,-,-
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,3079,"5,460","6,617",127.5%,-,-,-
今日から俺は!! パチスロ編,3009,"5,200","5,424",132%,-,-,-
スマスロ ゴッドイーター リザレクション,3126,"5,030","2,347",171.4%,-,-,-
スロット Re:ゼロから始める異世界生活 season2,3059,"4,750","1,663",195.2%,-,-,-
スマスロモンキーターンV,2043,"4,510","6,368",123.6%,-,-,-
Lダーリン・イン・ザ・フランキス,3074,"4,320","4,527",131.8%,-,-,-
A-SLOT+ ディスクアップ ULTRAREMIX,2314,"4,310","4,502",131.9%,24,7,1/145
ファンキージャグラー２ＫＴ,2125,"4,120","8,146",116.9%,45,26,1/115
アレックス ブライト,2330,"3,790","6,545",119.3%,-,-,-
L戦国乙女４　戦乱に閃く炯眼の軍師,3055,"3,750","5,526",122.6%,-,-,-
Lソードアート・オンライン,2020,"3,750","4,540",127.5%,-,-,-
スマスロ スーパーブラックジャック,3142,"3,660","5,123",123.8%,-,-,-
L主役は銭形5,2073,"3,630","2,806",143.1%,-,-,-
パチスロ　甲鉄城のカバネリ,3111,"3,600","3,628",133.1%,-,-,-
沖ドキ!ゴージャス 30Φ,2178,"3,540","5,777",120.4%,-,-,-
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,3066,"3,340","3,413",132.6%,-,-,-
Lスマスロ北斗の拳,2075,"3,280","7,183",115.2%,80,19,1/73
スマスロ ゴッドイーター リザレクション,3123,"3,110","4,172",124.8%,-,-,-
パチスロ　甲鉄城のカバネリ,3112,"3,090","4,429",123.3%,-,-,-
ファンキージャグラー２ＫＴ,2127,"3,000","8,864",111.3%,40,35,1/118
A-SLOT+ ディスクアップ ULTRAREMIX,2306,"2,910","7,275",113.3%,29,17,1/158
マイジャグラーV,2158,"2,800","7,658",112.2%,36,24,1/128
Lパチスロ革命機ヴァルヴレイヴ2,3174,"2,680","6,916",112.9%,-,-,-
スマスロ聖戦士ダンバイン,2004,"2,630","2,191",140%,-,-,-
パチスロ　甲鉄城のカバネリ,3108,"2,560","4,169",120.5%,-,-,-
Lスマスロ北斗の拳,2079,"2,460","6,877",111.9%,74,10,1/82
Lスマスロ北斗の拳,2094,"2,400","3,322",124.1%,46,5,1/65
押忍！番長ＺＥＲＯ,3099,"2,400","7,566",110.6%,-,-,-
ファンキージャグラー２ＫＴ,2124,"2,380","7,376",110.8%,34,30,1/115
LBパチスロ ヱヴァンゲリヲン～約束の扉～,2335,"2,340","4,120",118.9%,-,-,-
スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,2022,"2,230","1,560",147.6%,-,-,-
