id,store_name,日付,機種,台番,差枚,G数,BB,RB,合成,updated_at
979732,楽園アメ横,2025-12-17,Lパチスロ革命機ヴァルヴレイヴ2,3186,18430,6980,0,0,-,2025-12-26 09:18:22
979733,楽園アメ横,2025-12-17,スマスロ 東京リベンジャーズ,3147,13480,4980,0,0,-,2025-12-26 09:18:22
979734,楽園アメ横,2025-12-17,Lスマスロ北斗の拳,2084,10840,9141,139,20,1/57,2025-12-26 09:18:22
979735,楽園アメ横,2025-12-17,プリズムナナ,3030,8410,5426,0,0,-,2025-12-26 09:18:22
979736,楽園アメ横,2025-12-17,Lパチスロ革命機ヴァルヴレイヴ2,3175,7620,7335,0,0,-,2025-12-26 09:18:22
979737,楽園アメ横,2025-12-17,L東京喰種,3116,6970,8839,0,0,-,2025-12-26 09:18:22
979738,楽園アメ横,2025-12-17,プリズムナナ,3017,6970,5808,0,0,-,2025-12-26 09:18:22
979739,楽園アメ横,2025-12-17,Lパチスロ革命機ヴァルヴレイヴ2,3177,6030,9409,0,0,-,2025-12-26 09:18:22
979740,楽園アメ横,2025-12-17,Lスマスロ北斗の拳,2082,5970,6006,84,8,1/65,2025-12-26 09:18:22
979741,楽園アメ横,2025-12-17,スマスロ新鬼武者3,3128,5440,6530,0,0,-,2025-12-26 09:18:22
979742,楽園アメ横,2025-12-17,スマスロ新鬼武者3,3127,5190,7284,0,0,-,2025-12-26 09:18:22
979743,楽園アメ横,2025-12-17,スマスロ ゴッドイーター リザレクション,3121,4940,2518,0,0,-,2025-12-26 09:18:22
979744,楽園アメ横,2025-12-17,スマスロモンキーターンV,2041,4840,4951,0,0,-,2025-12-26 09:18:22
979745,楽園アメ横,2025-12-17,キングハナハナ-30,2203,4050,8012,0,0,-,2025-12-26 09:18:22
979746,楽園アメ横,2025-12-17,キングハナハナ-30,2199,3460,8967,0,0,-,2025-12-26 09:18:22
979747,楽園アメ横,2025-12-17,スマスロモンキーターンV,2034,3430,4854,0,0,-,2025-12-26 09:18:22
979748,楽園アメ横,2025-12-17,Lパチスロ革命機ヴァルヴレイヴ2,3181,3410,7278,0,0,-,2025-12-26 09:18:22
979749,楽園アメ横,2025-12-17,沖ドキ!ゴージャス 30Φ,2185,3410,3500,0,0,-,2025-12-26 09:18:22
979750,楽園アメ横,2025-12-17,Lスマスロ北斗の拳,2081,3360,6465,78,14,1/70,2025-12-26 09:18:22
979751,楽園アメ横,2025-12-17,L主役は銭形5,2073,3310,7217,0,0,-,2025-12-26 09:18:22
979752,楽園アメ横,2025-12-17,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,3080,3250,9264,0,0,-,2025-12-26 09:18:22
979753,楽園アメ横,2025-12-17,スマスロ化物語,3046,3200,8093,0,0,-,2025-12-26 09:18:22
979754,楽園アメ横,2025-12-17,スロット Re:ゼロから始める異世界生活 season2,3058,3200,2602,0,0,-,2025-12-26 09:18:22
979755,楽園アメ横,2025-12-17,Lパチスロ かぐや様は告らせたい,3163,3090,6038,0,0,-,2025-12-26 09:18:22
